email,{V0J6-K4PU53TH-8479TKVG},12/02/2010 08:44:43,ACA1126,PC-1737,Darrel.Naida.Walton@dtaa.com,,,Alma.Charissa.Atkins@dtaa.com,Send,610265,i work after-hours.jpg(569221),AA First Email To Supervisor,my work not appreciated company will suffer too much i work after-hours my work not appreciated no gratitude my work not appreciated my work not appreciated i work after-hours i work holidays company will suffer company will suffer i may leave no gratitude no gratitude i work holidays fed up my work not appreciated complaints no gratitude i work after-hours i work after-hours i work after-hours no gratitude i work holidays i work holidays i work after-hours
email,{P5V3-G9YP27CS-0790THXE},12/02/2010 08:57:32,ACA1126,PC-1737,Alma.Charissa.Atkins@dtaa.com,,,Darrel.Naida.Walton@dtaa.com,Receive,1855657,vacation.exe(547681);hard job.pdf(1287571),AA First Email From Supervisor,you are appreciated lets talk you are appreciated training good work lets talk hard job rest lunch valued employee rest you are appreciated lets talk training rest schedule hard job good work schedule you are appreciated you are appreciated lets talk you are appreciated lunch vacation valued employee training schedule rest rest rest valued employee you are appreciated vacation valued employee you are appreciated lets talk lunch you are appreciated valued employee hard job vacation schedule hard job vacation lunch schedule lets talk vacation hard job
email,{V3T5-H6PF27LD-0119SVTT},12/02/2010 13:01:30,ACA1126,PC-1737,Darrel.Naida.Walton@dtaa.com,,,Alma.Charissa.Atkins@dtaa.com,Send,38537,,AA Second Email To Supervisor,not my fault not my fault outraged i am irreplaceable bad things outraged bad things two faced two faced angry bad things outraged angry i will leave not my fault take me seriously not my fault two faced angry exacerbated take me seriously exacerbated i am irreplaceable bad things not my fault exacerbated i am irreplaceable i will leave two faced bad things two faced not my fault exacerbated angry bad things bad things outraged bad things bad things take me seriously i am irreplaceable take me seriously two faced i am irreplaceable i am irreplaceable outraged i am irreplaceable exacerbated exacerbated angry outraged two faced take me seriously take me seriously exacerbated angry i am irreplaceable take me seriously outraged i will leave outraged angry outraged outraged i am irreplaceable i am irreplaceable outraged
email,{Z6A8-P5IM56VE-2646BZCA},12/02/2010 13:26:29,ACA1126,PC-1737,Alma.Charissa.Atkins@dtaa.com,,,Darrel.Naida.Walton@dtaa.com,Receive,36480,,AA Second Email From Supervisor,lets talk today demanding job unrelenting assistance valued employee operose lets talk today operose unrelenting unrelenting take some time off assistance no one is irreplaceable promote operose lets talk today operose lets talk today lets talk today promote lets talk today valued employee promote lets talk today you are diligent you are diligent take some time off operose lets talk today training you are diligent valued employee operose training lets talk today demanding job you are diligent demanding job unrelenting operose
http,{I1U0-T8TI40IE-5745PELS},12/02/2010 14:18:56,ACA1126,PC-1737,http://www.relytec.com/Climate_of_Florida/suniest/NNXrlybttre1893061997.aspx,AA Keylogger,monitor free keylogging monitor advanced email program email surveillance keyboard covert captured surveillance download surveillance hidden keylogging everything protect captured undetectable effective keyboard malware pc monitor download username free pc password password illegal captured pc download recommend keylogging keylogging pc gui keylogging captured useful program secure captured easy pc gui hidden email illegal pc
http,{J9A1-O2YG32JA-1851WHKW},12/02/2010 14:29:33,ACA1126,PC-1737,http://www.relytec.com/Climate_of_Florida/suniest/NNXrlybttre1893061997.aspx,AA Keylogger,gui free hidden free email free email free captured pc file free hidden captured surveillance everything free undetectable everything pc everything username free undetectable activity keyboard recommend surveillance protect keyboard captured download everything everything everything surveillance password free undetectable effective
http,{U9T7-E3FX45KH-2081PYKH},12/02/2010 15:11:01,ACA1126,PC-1737,http://www.webwatchernow.com/keylogger/snowiest/NNXrlybttre2085962602.aspx,AA Keylogger,easy free keylogging recommend illegal free keyboard keyboard easy keylogging effective protect trial file monitor keyboard file keyboard secure undetectable advanced program username keylogging surveillance recommend surveillance surveillance covert malware pc password advanced effective easy undetectable covert file surveillance username password download covert hidden username free free username surveillance illegal gui pc file email download keylogging password surveillance everything hidden username email effective download download secure gui everything keyboard
http,{C5G0-A9AM75KZ-9913IDQQ},12/02/2010 15:21:25,ACA1126,PC-1737,http://www.refog.com/free-keylogger/Climate_of_Utah/dryest/NNXrlybttre757488686.php,AA Keylogger,email password keylogging easy stealth everything email everything secure surveillance surveillance file protect hidden download easy gui captured email free keylogging keyboard program protect username password undetectable keylogging username password download free easy illegal illegal gui recommend password free gui program pc effective effective program email undetectable advanced easy undetectable easy keyboard effective
http,{V1V9-F7UF52GI-0137JXOD},12/02/2010 15:27:12,ACA1126,PC-1737,http://www.relytec.com/Climate_of_Florida/suniest/NNXrlybttre1893061997.aspx,AA Keylogger,captured useful hidden pc free effective keylogging password advanced free keylogging trial activity password effective free file protect file easy effective monitor download surveillance pc free
device,{A9G8-R2LA36ZL-2784ZTEV},12/02/2010 15:35:54,ACA1126,PC-1737,R:\;R:\ACA1126;R:\93P82N6,Connect
file,{T1O9-Y2OI37WU-4959HNAX},12/02/2010 15:43:52,ACA1126,PC-1737,R:\keylogger.exe,File Write,True,False,AA Keylogger,4D-5A-90-00-03-00-00-00-04-00-00-00-FF-FF-00-00-B8-00-00-00-00-00-00-00-40-00 monitor gui recommend easy pc undetectable illegal everything illegal email recommend keyboard easy surveillance free keyboard monitor keylogging useful stealth surveillance protect illegal surveillance keyboard monitor monitor stealth stealth protect monitor surveillance pc advanced covert secure password keylogging useful everything surveillance gui everything password undetectable keyboard malware program username program gui surveillance secure surveillance keylogging file effective pc pc
device,{M0N5-G4LS65PJ-1590BJXO},12/02/2010 15:48:39,ACA1126,PC-1737,,Disconnect
logon,{I3P3-W0DX84TM-2815ZRKC},12/02/2010 20:22:04,ACA1126,PC-1124,Logon
device,{P1C4-W8RA33YS-4173HKFX},12/02/2010 20:25:38,ACA1126,PC-1124,R:\;R:\ACA1126;R:\93P82N6,Connect
file,{D7K4-C0DT25NR-7151RPQY},12/02/2010 20:25:40,ACA1126,PC-1124,R:\keylogger.exe,File Open,False,True,AA Keylogger,4D-5A-90-00-03-00-00-00-04-00-00-00-FF-FF-00-00-B8-00-00-00-00-00-00-00-40-00 monitor gui recommend easy pc undetectable illegal everything illegal email recommend keyboard easy surveillance free keyboard monitor keylogging useful stealth surveillance protect illegal surveillance keyboard monitor monitor stealth stealth protect monitor surveillance pc advanced covert secure password keylogging useful everything surveillance gui everything password undetectable keyboard malware program username program gui surveillance secure surveillance keylogging file effective pc pc
device,{Q7A2-Z6XV01LX-3361JRPT},12/02/2010 20:32:02,ACA1126,PC-1124,,Disconnect
logon,{N2Q5-N4ZU70EW-5810NBJR},12/02/2010 20:35:39,ACA1126,PC-1124,Logoff
logon,{F2S4-J9UR42HD-6833XKCG},12/03/2010 18:01:31,ACA1126,PC-1124,Logon
logon,{F0R3-T4KX33IB-4975EXTP},12/03/2010 18:13:56,ACA1126,PC-1124,Logoff
