email,{I1N9-A9ND85QA-4730PGBE},07/15/2010 10:53:12,CRD0272,PC-1626,Jessica.Jeanette.Cline@dtaa.com,,Cassady.Rachel.Daniels@dtaa.com,Cassady.Rachel.Daniels@dtaa.com,Send,30910,,AA First Email To Supervisor,company will suffer fed up company will suffer i work after-hours complaints company will suffer company will suffer my work not appreciated company will suffer i work after-hours too much i may leave my work not appreciated fed up i may leave i work holidays i may leave company will suffer i work after-hours i work weekends i work holidays complaints i may leave complaints company will suffer my work not appreciated no gratitude my work not appreciated my work not appreciated company will suffer i work after-hours i may leave i may leave
email,{J8O1-K6DU77WX-1945MZNX},07/15/2010 10:54:12,CRD0272,PC-1626,Jessica.Jeanette.Cline@dtaa.com,,,Cassady.Rachel.Daniels@dtaa.com,Receive,30910,,AA First Email To Supervisor,company will suffer fed up company will suffer i work after-hours complaints company will suffer company will suffer my work not appreciated company will suffer i work after-hours too much i may leave my work not appreciated fed up i may leave i work holidays i may leave company will suffer i work after-hours i work weekends i work holidays complaints i may leave complaints company will suffer my work not appreciated no gratitude my work not appreciated my work not appreciated company will suffer i work after-hours i may leave i may leave
email,{S6X0-E6HZ25LA-9901FFMZ},07/15/2010 11:49:04,CRD0272,PC-1626,Cassady.Rachel.Daniels@dtaa.com,,,Jessica.Jeanette.Cline@dtaa.com,Receive,45033,,AA First Email From Supervisor,hard job training hard job lunch vacation hard job you are appreciated rest valued employee schedule hard job you are appreciated vacation lets talk rest good work vacation good work good work rest training valued employee vacation you are appreciated lets talk good work you are appreciated rest good work vacation you are appreciated training valued employee lunch valued employee vacation rest lunch good work lets talk vacation valued employee lets talk hard job training lunch
email,{H6L1-B1EK36XC-1105AETN},07/15/2010 13:18:42,CRD0272,PC-1626,Jessica.Jeanette.Cline@dtaa.com,Cassady.Rachel.Daniels@dtaa.com,,Cassady.Rachel.Daniels@dtaa.com,Send,29370,,AA Second Email To Supervisor,i will leave take me seriously i will leave i will leave outraged take me seriously angry bad things outraged outraged not my fault take me seriously i am irreplaceable bad things not my fault exacerbated i am irreplaceable exacerbated angry not my fault two faced not my fault i am irreplaceable take me seriously not my fault i am irreplaceable i will leave i am irreplaceable exacerbated exacerbated not my fault i am irreplaceable i will leave not my fault outraged i am irreplaceable angry exacerbated i will leave angry outraged i am irreplaceable bad things bad things two faced outraged i will leave not my fault i will leave angry outraged bad things angry i will leave outraged outraged angry two faced two faced take me seriously
email,{A0B5-D6FV97IO-5570TFUG},07/15/2010 13:19:42,CRD0272,PC-1626,Jessica.Jeanette.Cline@dtaa.com,Cassady.Rachel.Daniels@dtaa.com,,Cassady.Rachel.Daniels@dtaa.com,Receive,29370,,AA Second Email To Supervisor,i will leave take me seriously i will leave i will leave outraged take me seriously angry bad things outraged outraged not my fault take me seriously i am irreplaceable bad things not my fault exacerbated i am irreplaceable exacerbated angry not my fault two faced not my fault i am irreplaceable take me seriously not my fault i am irreplaceable i will leave i am irreplaceable exacerbated exacerbated not my fault i am irreplaceable i will leave not my fault outraged i am irreplaceable angry exacerbated i will leave angry outraged i am irreplaceable bad things bad things two faced outraged i will leave not my fault i will leave angry outraged bad things angry i will leave outraged outraged angry two faced two faced take me seriously
email,{W6U1-X5WV79EZ-4896OQLX},07/15/2010 14:43:49,CRD0272,PC-1626,Cassady.Rachel.Daniels@dtaa.com,,,Jessica.Jeanette.Cline@dtaa.com,Receive,1082173,no one is irreplaceable.txt(830084);demanding job.exe(233168),AA Second Email From Supervisor,no one is irreplaceable no one is irreplaceable training assistance training valued employee valued employee no one is irreplaceable operose take some time off lets talk today take some time off no one is irreplaceable valued employee unrelenting training take some time off promote take some time off operose training promote you are diligent training demanding job unrelenting no one is irreplaceable no one is irreplaceable training unrelenting no one is irreplaceable promote you are diligent demanding job no one is irreplaceable lets talk today no one is irreplaceable assistance no one is irreplaceable unrelenting demanding job demanding job assistance lets talk today promote promote demanding job valued employee assistance
http,{A9R1-L6XJ30UF-1053LAPV},07/15/2010 17:06:23,CRD0272,PC-1626,http://www.softactivity.com/Climate_of_California/dryest/NNXrlybttre1075715869.aspx,AA Keylogger,covert free download protect file easy password file covert email password recommend pc keyboard recommend activity download easy password free advanced undetectable password free undetectable keylogging activity covert trial keylogging username covert download surveillance effective email program undetectable free program surveillance easy username gui surveillance surveillance keylogging effective malware keyboard program surveillance recommend
http,{G7E6-L5XM61KV-4152BQHD},07/15/2010 17:40:53,CRD0272,PC-1626,http://www.refog.com/free-keylogger/Climate_of_Utah/dryest/NNXrlybttre757488686.php,AA Keylogger,password everything trial pc monitor keylogging recommend recommend file program free activity free monitor secure monitor pc advanced recommend download captured hidden monitor malware everything undetectable keylogging covert everything pc free effective free keylogging username easy file program download secure secure keylogging surveillance keylogging undetectable pc hidden captured easy captured recommend captured keylogging
device,{W6R8-K2PF85IV-2536LIPQ},07/15/2010 18:04:25,CRD0272,PC-1626,R:\;R:\CRD0272;R:\68TM7V2,Connect
file,{W8H4-O2VD91GW-8072HGBJ},07/15/2010 18:05:46,CRD0272,PC-1626,R:\keylogger.exe,File Write,True,False,AA Keylogger,4D-5A-90-00-03-00-00-00-04-00-00-00-FF-FF-00-00-B8-00-00-00-00-00-00-00-40-00 monitor recommend secure activity covert surveillance stealth effective file download advanced undetectable effective email username password captured program protect secure gui stealth undetectable advanced secure hidden surveillance keyboard username file everything captured email advanced pc activity pc pc username free
device,{Z5E6-H5RB56YA-5123QRIZ},07/15/2010 18:07:59,CRD0272,PC-1626,,Disconnect
logon,{I9W0-W2KC91BI-1652BTNO},07/15/2010 21:41:57,CRD0272,PC-8814,Logon
device,{A7X4-L6AM83WQ-6262PHMG},07/15/2010 21:49:10,CRD0272,PC-8814,R:\;R:\CRD0272;R:\68TM7V2,Connect
file,{R6B9-P2GY97ZJ-8464KLRD},07/15/2010 21:51:52,CRD0272,PC-8814,R:\keylogger.exe,File Open,False,True,AA Keylogger,4D-5A-90-00-03-00-00-00-04-00-00-00-FF-FF-00-00-B8-00-00-00-00-00-00-00-40-00 monitor recommend secure activity covert surveillance stealth effective file download advanced undetectable effective email username password captured program protect secure gui stealth undetectable advanced secure hidden surveillance keyboard username file everything captured email advanced pc activity pc pc username free
device,{U7Y9-W7BJ09TO-4550PMHT},07/15/2010 21:53:29,CRD0272,PC-8814,,Disconnect
logon,{O7E4-M2GC56QB-4170TXHB},07/15/2010 21:56:22,CRD0272,PC-8814,Logoff
logon,{E8J5-N7RJ50ZT-8616ZTJL},07/16/2010 20:29:30,CRD0272,PC-8814,Logon
logon,{O9Q2-V2UX29EO-2980RZFA},07/16/2010 20:42:28,CRD0272,PC-8814,Logoff
