email,{O4Z3-W0FS17TT-0785NOZA},05/12/2011 07:49:54,CWW1120,PC-0617,Darrel.Naida.Walton@dtaa.com,,,Calvin.Wayne.Watson@dtaa.com,Send,962848,company will suffer.zip(937146),AA First Email To Supervisor,i may leave fed up no gratitude company will suffer company will suffer fed up no gratitude my work not appreciated i may leave my work not appreciated i work weekends i work weekends too much i work after-hours i work holidays i work after-hours my work not appreciated complaints complaints i work holidays company will suffer company will suffer i may leave i work after-hours i may leave i work holidays no gratitude i work after-hours fed up company will suffer company will suffer i work holidays no gratitude company will suffer no gratitude my work not appreciated company will suffer i may leave fed up company will suffer company will suffer fed up my work not appreciated i work after-hours company will suffer
email,{T4U0-K5BI94XR-5549SXYB},05/12/2011 09:27:09,CWW1120,PC-0617,Calvin.Wayne.Watson@dtaa.com,,,Darrel.Naida.Walton@dtaa.com,Receive,10680650,vacation.exe(2322810);rest.zip(1320115);rest.doc(1852008);lunch.doc(940821);good work.exe(574019);valued employee.exe(1530163);you are appreciated.txt(918012);good work.zip(1182425),AA First Email From Supervisor,lets talk lets talk good work hard job you are appreciated you are appreciated training valued employee you are appreciated lunch lets talk rest valued employee lets talk hard job good work lets talk lunch vacation you are appreciated valued employee lets talk hard job lunch hard job training schedule schedule rest rest good work lets talk vacation hard job lunch you are appreciated rest rest good work lets talk lets talk
email,{O6P5-C4MD22EN-7662LEIK},05/12/2011 13:16:50,CWW1120,PC-0617,Darrel.Naida.Walton@dtaa.com,,,Calvin.Wayne.Watson@dtaa.com,Send,30766,,AA Second Email To Supervisor,not my fault i am irreplaceable i am irreplaceable i am irreplaceable i will leave bad things bad things angry not my fault exacerbated i will leave i will leave outraged not my fault take me seriously i will leave not my fault outraged exacerbated outraged outraged exacerbated outraged i am irreplaceable take me seriously i am irreplaceable i will leave not my fault i am irreplaceable take me seriously angry i will leave take me seriously take me seriously two faced i am irreplaceable angry angry not my fault two faced i will leave i will leave not my fault two faced take me seriously angry i am irreplaceable i will leave take me seriously angry i am irreplaceable take me seriously take me seriously two faced angry take me seriously not my fault i will leave i will leave bad things
email,{D0Q6-M1JR88CP-6112OPAR},05/12/2011 14:52:48,CWW1120,PC-0617,Calvin.Wayne.Watson@dtaa.com,,,Darrel.Naida.Walton@dtaa.com,Receive,23738,,AA Second Email From Supervisor,operose unrelenting promote operose training you are diligent valued employee training valued employee operose no one is irreplaceable take some time off no one is irreplaceable you are diligent you are diligent training valued employee operose demanding job promote no one is irreplaceable no one is irreplaceable assistance take some time off lets talk today take some time off no one is irreplaceable valued employee promote operose training take some time off operose demanding job assistance valued employee lets talk today take some time off training operose promote unrelenting promote promote you are diligent unrelenting
http,{S0G0-Y1KZ89XQ-3011VSVI},05/12/2011 15:42:27,CWW1120,PC-0617,http://www.softactivity.com/Climate_of_California/dryest/NNXrlybttre1075715869.aspx,AA Keylogger,free pc captured download undetectable download keyboard monitor password effective email file malware monitor everything password secure pc file keyboard undetectable gui advanced everything covert advanced pc malware program keylogging monitor covert surveillance free keylogging recommend pc keylogging keylogging everything captured username easy keylogging free password covert malware pc illegal keyboard everything monitor secure surveillance easy keylogging free gui monitor download captured
http,{S1W2-K8ME21JZ-4099DDCQ},05/12/2011 15:44:06,CWW1120,PC-0617,http://www.softactivity.com/Climate_of_California/dryest/NNXrlybttre1075715869.aspx,AA Keylogger,download undetectable easy everything trial easy illegal password monitor hidden secure useful email everything recommend download recommend easy surveillance effective covert illegal surveillance gui stealth gui file advanced protect protect keylogging hidden file keyboard illegal recommend hidden gui effective keyboard easy free everything surveillance password
device,{A8X6-S1JA12EX-3193PUKT},05/12/2011 15:46:33,CWW1120,PC-0617,R:\;R:\CWW1120;R:\74hlKY0;R:\12YM2X2;R:\18FnV11,Connect
file,{C2E3-E0JJ49SK-2516PJAZ},05/12/2011 15:50:10,CWW1120,PC-0617,R:\keylogger.exe,File Write,True,False,AA Keylogger,4D-5A-90-00-03-00-00-00-04-00-00-00-FF-FF-00-00-B8-00-00-00-00-00-00-00-40-00 keylogging keyboard effective download undetectable email surveillance captured monitor surveillance everything stealth username hidden program keylogging protect easy hidden easy useful email pc gui program captured password file monitor captured file surveillance keyboard everything program password stealth secure download gui file download easy file email effective effective surveillance secure
device,{K7E2-P6QF09UY-9662TWNT},05/12/2011 15:54:12,CWW1120,PC-0617,,Disconnect
logon,{R1G2-U6PO42OR-8696BYLV},05/12/2011 18:51:46,CWW1120,PC-1124,Logon
device,{C8M1-Y5BF23JI-8463ZIXC},05/12/2011 18:55:12,CWW1120,PC-1124,R:\;R:\CWW1120;R:\74hlKY0;R:\12YM2X2;R:\18FnV11,Connect
file,{Y8S7-L3ZI99UX-6750EWNP},05/12/2011 18:57:52,CWW1120,PC-1124,R:\keylogger.exe,File Open,False,True,AA Keylogger,4D-5A-90-00-03-00-00-00-04-00-00-00-FF-FF-00-00-B8-00-00-00-00-00-00-00-40-00 keylogging keyboard effective download undetectable email surveillance captured monitor surveillance everything stealth username hidden program keylogging protect easy hidden easy useful email pc gui program captured password file monitor captured file surveillance keyboard everything program password stealth secure download gui file download easy file email effective effective surveillance secure
device,{Z7Y1-Q0ZE96CX-2010KQEN},05/12/2011 19:01:00,CWW1120,PC-1124,,Disconnect
logon,{R9X7-A5RL87MG-6048MWFH},05/12/2011 19:04:18,CWW1120,PC-1124,Logoff
logon,{K2L0-Y1AO02AR-4154DSZI},05/13/2011 19:59:25,CWW1120,PC-1124,Logon
logon,{E1Y5-U6BZ10HX-2357CRKL},05/13/2011 20:12:30,CWW1120,PC-1124,Logoff
