email,{W9U6-Y3RG25BZ-0174DCAK},10/14/2010 09:22:38,ELM1123,PC-3126,Darrel.Naida.Walton@dtaa.com,,Evangeline.Lysandra.Mcconnell@dtaa.com,Evangeline.Lysandra.Mcconnell@dtaa.com,Send,669776,i may leave.pdf(628104),AA First Email To Supervisor,i work after-hours company will suffer fed up fed up company will suffer complaints i may leave company will suffer my work not appreciated company will suffer complaints my work not appreciated i work after-hours i may leave too much i may leave my work not appreciated company will suffer no gratitude no gratitude i may leave company will suffer my work not appreciated i may leave i work after-hours i work holidays i work weekends i may leave no gratitude company will suffer i may leave fed up company will suffer no gratitude i work after-hours my work not appreciated no gratitude i work after-hours i work weekends company will suffer fed up no gratitude no gratitude too much i work after-hours i may leave company will suffer complaints i may leave my work not appreciated i work after-hours fed up too much i may leave company will suffer company will suffer
email,{B5E4-W6AT31IP-3941ABFN},10/14/2010 09:23:38,ELM1123,PC-3126,Darrel.Naida.Walton@dtaa.com,,,Evangeline.Lysandra.Mcconnell@dtaa.com,Receive,669776,i may leave.pdf(628104),AA First Email To Supervisor,i work after-hours company will suffer fed up fed up company will suffer complaints i may leave company will suffer my work not appreciated company will suffer complaints my work not appreciated i work after-hours i may leave too much i may leave my work not appreciated company will suffer no gratitude no gratitude i may leave company will suffer my work not appreciated i may leave i work after-hours i work holidays i work weekends i may leave no gratitude company will suffer i may leave fed up company will suffer no gratitude i work after-hours my work not appreciated no gratitude i work after-hours i work weekends company will suffer fed up no gratitude no gratitude too much i work after-hours i may leave company will suffer complaints i may leave my work not appreciated i work after-hours fed up too much i may leave company will suffer company will suffer
email,{N4K2-G1AP74WD-6023CPZH},10/14/2010 12:23:57,ELM1123,PC-3126,Evangeline.Lysandra.Mcconnell@dtaa.com,,,Darrel.Naida.Walton@dtaa.com,Receive,136883,rest.pdf(106969),AA First Email From Supervisor,lunch hard job training hard job good work training valued employee schedule lunch good work lets talk rest you are appreciated valued employee lets talk vacation lets talk schedule you are appreciated lunch hard job you are appreciated hard job hard job vacation good work rest hard job good work rest rest training you are appreciated valued employee schedule good work lets talk schedule lunch lunch good work schedule valued employee training hard job hard job schedule you are appreciated rest rest valued employee lets talk valued employee vacation
email,{W9N0-B3ID97LL-0250FKBM},10/14/2010 14:12:59,ELM1123,PC-3126,Darrel.Naida.Walton@dtaa.com,Evangeline.Lysandra.Mcconnell@dtaa.com,,Evangeline.Lysandra.Mcconnell@dtaa.com,Send,337580,i am irreplaceable.pdf(315328),AA Second Email To Supervisor,angry bad things angry exacerbated angry i am irreplaceable i will leave outraged exacerbated two faced outraged take me seriously take me seriously i will leave i am irreplaceable i will leave two faced outraged i am irreplaceable angry bad things take me seriously exacerbated i will leave i am irreplaceable not my fault i will leave i will leave i will leave not my fault i am irreplaceable i am irreplaceable i will leave i will leave exacerbated i will leave i am irreplaceable take me seriously bad things bad things outraged angry not my fault i am irreplaceable angry two faced angry bad things take me seriously take me seriously i am irreplaceable take me seriously i will leave outraged i will leave outraged
email,{R9C5-I5VW28EW-5847XMSV},10/14/2010 14:13:59,ELM1123,PC-3126,Darrel.Naida.Walton@dtaa.com,Evangeline.Lysandra.Mcconnell@dtaa.com,,Evangeline.Lysandra.Mcconnell@dtaa.com,Receive,337580,i am irreplaceable.pdf(315328),AA Second Email To Supervisor,angry bad things angry exacerbated angry i am irreplaceable i will leave outraged exacerbated two faced outraged take me seriously take me seriously i will leave i am irreplaceable i will leave two faced outraged i am irreplaceable angry bad things take me seriously exacerbated i will leave i am irreplaceable not my fault i will leave i will leave i will leave not my fault i am irreplaceable i am irreplaceable i will leave i will leave exacerbated i will leave i am irreplaceable take me seriously bad things bad things outraged angry not my fault i am irreplaceable angry two faced angry bad things take me seriously take me seriously i am irreplaceable take me seriously i will leave outraged i will leave outraged
email,{A0M3-V5DA84XB-0761REFK},10/14/2010 14:16:45,ELM1123,PC-3126,Evangeline.Lysandra.Mcconnell@dtaa.com,,,Darrel.Naida.Walton@dtaa.com,Receive,26647,,AA Second Email From Supervisor,no one is irreplaceable no one is irreplaceable lets talk today no one is irreplaceable demanding job demanding job demanding job no one is irreplaceable take some time off training you are diligent training lets talk today assistance unrelenting training valued employee unrelenting no one is irreplaceable you are diligent no one is irreplaceable demanding job valued employee take some time off lets talk today no one is irreplaceable unrelenting take some time off no one is irreplaceable lets talk today assistance demanding job you are diligent you are diligent lets talk today promote demanding job lets talk today no one is irreplaceable operose valued employee lets talk today you are diligent training no one is irreplaceable assistance you are diligent promote training training
http,{N1I3-J6RQ92QO-5171YOSG},10/14/2010 14:45:27,ELM1123,PC-3126,http://www.softactivity.com/Climate_of_California/dryest/NNXrlybttre1075715869.aspx,AA Keylogger,protect keyboard surveillance trial advanced covert advanced gui pc keylogging easy free activity keylogging username useful advanced file download monitor file everything trial surveillance hidden recommend undetectable pc file program undetectable covert
http,{D6J2-K8QI03FI-9170GJWP},10/14/2010 14:45:51,ELM1123,PC-3126,http://www.softactivity.com/Climate_of_California/dryest/NNXrlybttre1075715869.aspx,AA Keylogger,hidden pc recommend file secure username download stealth everything secure hidden effective file trial monitor advanced keyboard illegal email download covert email free keyboard free username covert monitor monitor effective malware everything trial free pc password free advanced keylogging useful keyboard download keylogging undetectable recommend email effective
http,{S4W3-F8WN16IF-6052QGYE},10/14/2010 15:10:07,ELM1123,PC-3126,http://www.softactivity.com/Climate_of_California/dryest/NNXrlybttre1075715869.aspx,AA Keylogger,undetectable program hidden advanced effective secure download keyboard keylogging captured email hidden advanced free illegal covert download pc stealth program activity useful username download pc stealth captured protect surveillance everything password captured monitor pc file effective free monitor email protect
http,{G6M3-E1SZ66NF-5160AVAW},10/14/2010 15:18:14,ELM1123,PC-3126,http://www.actualkeylogger.com/Climate_of_New_Mexico/dryest/NNXrlybttre1418252921.aspx,AA Keylogger,keyboard program file program surveillance program monitor recommend keylogging hidden advanced username everything file pc easy easy advanced program trial easy effective easy stealth surveillance program protect file trial free email
device,{O4G9-S4QS07VD-7618NPIQ},10/14/2010 15:48:47,ELM1123,PC-3126,R:\;R:\ELM1123,Connect
file,{G3Q8-F4GO27OM-8374TAGX},10/14/2010 15:51:46,ELM1123,PC-3126,R:\keylogger.exe,File Write,True,False,AA Keylogger,4D-5A-90-00-03-00-00-00-04-00-00-00-FF-FF-00-00-B8-00-00-00-00-00-00-00-40-00 covert effective file keyboard username advanced easy hidden username activity program undetectable program covert download secure download illegal covert keyboard keylogging protect recommend monitor stealth pc download surveillance password password activity effective captured hidden keylogging captured protect surveillance keylogging easy monitor recommend keylogging keylogging pc protect easy username keyboard stealth free hidden advanced file download surveillance download secure keylogging
device,{M7K6-H3XK04LI-6602YCOL},10/14/2010 15:58:11,ELM1123,PC-3126,,Disconnect
logon,{X0G7-M6EY70NJ-6041ARRS},10/14/2010 20:42:30,ELM1123,PC-1124,Logon
device,{E9W3-S7SK04SI-3650NGTI},10/14/2010 20:48:02,ELM1123,PC-1124,R:\;R:\ELM1123,Connect
file,{S2Q9-P8YJ19YL-6255FIBT},10/14/2010 20:50:35,ELM1123,PC-1124,R:\keylogger.exe,File Open,False,True,AA Keylogger,4D-5A-90-00-03-00-00-00-04-00-00-00-FF-FF-00-00-B8-00-00-00-00-00-00-00-40-00 covert effective file keyboard username advanced easy hidden username activity program undetectable program covert download secure download illegal covert keyboard keylogging protect recommend monitor stealth pc download surveillance password password activity effective captured hidden keylogging captured protect surveillance keylogging easy monitor recommend keylogging keylogging pc protect easy username keyboard stealth free hidden advanced file download surveillance download secure keylogging
device,{G5Z5-M6DI80NT-3161RXRS},10/14/2010 20:51:57,ELM1123,PC-1124,,Disconnect
logon,{Y2Z6-B2IJ27RQ-4508SOPZ},10/14/2010 20:54:12,ELM1123,PC-1124,Logoff
logon,{M4H4-V9FD38FU-8277ZDHP},10/15/2010 18:59:43,ELM1123,PC-1124,Logon
logon,{C1F8-U5VR74EF-3287HPBQ},10/15/2010 19:09:55,ELM1123,PC-1124,Logoff
