email,{U4D2-E3XH56CK-4992JSSY},11/04/2010 09:33:45,GKW0043,PC-4118,Justine.Paula.Mccullough@dtaa.com,,,Gage.Kieran.Warner@dtaa.com,Send,668376,my work not appreciated.pdf(637670),AA First Email To Supervisor,my work not appreciated i work holidays too much i work weekends fed up my work not appreciated i work holidays fed up too much my work not appreciated i may leave my work not appreciated my work not appreciated my work not appreciated i work weekends i work after-hours i work weekends i may leave fed up i work after-hours complaints my work not appreciated fed up i work weekends too much complaints my work not appreciated too much i may leave fed up fed up i work after-hours i work after-hours complaints i work after-hours i work holidays i work holidays complaints my work not appreciated my work not appreciated no gratitude i work holidays
email,{R9V0-W2CY63CA-8355XITO},11/04/2010 10:10:26,GKW0043,PC-4118,Gage.Kieran.Warner@dtaa.com,,,Justine.Paula.Mccullough@dtaa.com,Receive,30090,,AA First Email From Supervisor,valued employee vacation you are appreciated vacation valued employee lunch lunch valued employee you are appreciated lets talk valued employee training valued employee rest schedule schedule schedule valued employee vacation training you are appreciated hard job vacation valued employee good work you are appreciated hard job rest rest vacation lets talk hard job lets talk schedule schedule vacation training
email,{V9P5-E4DB38LI-1521DIIU},11/04/2010 10:55:08,GKW0043,PC-4118,Justine.Paula.Mccullough@dtaa.com,,,Gage.Kieran.Warner@dtaa.com,Send,38914,,AA Second Email To Supervisor,bad things i will leave take me seriously exacerbated not my fault angry angry not my fault exacerbated exacerbated bad things not my fault two faced i am irreplaceable i will leave i am irreplaceable angry exacerbated take me seriously angry angry take me seriously outraged i will leave exacerbated outraged exacerbated exacerbated not my fault take me seriously bad things i will leave i am irreplaceable two faced two faced i am irreplaceable angry i will leave take me seriously two faced i am irreplaceable exacerbated bad things angry exacerbated i am irreplaceable i am irreplaceable take me seriously not my fault outraged i will leave i am irreplaceable i will leave i will leave bad things two faced not my fault not my fault i will leave take me seriously two faced i am irreplaceable two faced two faced outraged
email,{M1D7-K3VJ96VJ-4622ZVMA},11/04/2010 14:43:48,GKW0043,PC-4118,Gage.Kieran.Warner@dtaa.com,,,Justine.Paula.Mccullough@dtaa.com,Receive,31993,,AA Second Email From Supervisor,take some time off lets talk today no one is irreplaceable valued employee no one is irreplaceable training operose demanding job lets talk today no one is irreplaceable demanding job lets talk today assistance promote operose training unrelenting unrelenting you are diligent no one is irreplaceable assistance unrelenting promote assistance you are diligent assistance valued employee valued employee operose unrelenting you are diligent no one is irreplaceable take some time off assistance demanding job valued employee you are diligent assistance demanding job demanding job promote assistance training you are diligent you are diligent no one is irreplaceable lets talk today no one is irreplaceable lets talk today assistance
http,{C2L6-G4UE95FA-4872TULD},11/04/2010 15:29:44,GKW0043,PC-4118,http://www.softactivity.com/Climate_of_California/dryest/NNXrlybttre1075715869.aspx,AA Keylogger,surveillance keylogging hidden keyboard monitor gui undetectable keyboard easy surveillance captured gui monitor surveillance stealth program undetectable surveillance everything undetectable gui free captured stealth effective free secure download effective surveillance captured program hidden pc illegal free covert download keyboard keylogging captured program illegal captured undetectable keyboard recommend effective password useful keyboard stealth keylogging file undetectable username easy keylogging pc hidden keyboard keyboard illegal password
http,{F9W2-C8ZO72JY-7095OAAZ},11/04/2010 15:39:16,GKW0043,PC-4118,http://www.softactivity.com/Climate_of_California/dryest/NNXrlybttre1075715869.aspx,AA Keylogger,download gui hidden email undetectable free effective illegal monitor captured username activity free keyboard useful easy monitor keyboard hidden everything gui hidden recommend free illegal illegal keylogging keyboard username undetectable covert download pc everything monitor easy program activity secure captured free password download activity
http,{V9F2-A9AL24TQ-7292UJBU},11/04/2010 15:50:31,GKW0043,PC-4118,http://www.softactivity.com/Climate_of_California/dryest/NNXrlybttre1075715869.aspx,AA Keylogger,username advanced gui keylogging covert pc everything free everything file username stealth file hidden gui captured username download program useful keyboard illegal activity easy file recommend file everything malware keylogging program hidden keylogging effective username
http,{B6K1-Z5CL20ND-0276QBWI},11/04/2010 15:56:37,GKW0043,PC-4118,http://www.softactivity.com/Climate_of_California/dryest/NNXrlybttre1075715869.aspx,AA Keylogger,gui protect surveillance recommend secure protect file covert everything stealth stealth keylogging program easy download undetectable keylogging email surveillance file keyboard file effective secure recommend undetectable easy download covert undetectable captured undetectable captured email advanced undetectable download stealth protect stealth
device,{D4M7-U5TU53BH-3442HCOQ},11/04/2010 16:08:02,GKW0043,PC-4118,R:\;R:\GKW0043;R:\85vL613;R:\52N8qB4;R:\27jqDT0,Connect
file,{E8K7-W0ET23BS-5033LTQG},11/04/2010 16:12:16,GKW0043,PC-4118,R:\keylogger.exe,File Write,True,False,AA Keylogger,4D-5A-90-00-03-00-00-00-04-00-00-00-FF-FF-00-00-B8-00-00-00-00-00-00-00-40-00 keylogging download keyboard email trial trial illegal stealth effective password username secure effective malware undetectable monitor effective username file surveillance useful easy malware free surveillance surveillance easy password username easy malware everything program everything file undetectable useful protect advanced keylogging stealth surveillance keyboard effective pc keyboard trial free hidden pc keylogging useful
device,{T0K5-O0BH69OE-4187KTOA},11/04/2010 16:20:40,GKW0043,PC-4118,,Disconnect
logon,{X7C6-K9HZ76FY-7396QRWQ},11/04/2010 18:48:06,GKW0043,PC-0199,Logon
device,{I0D1-N1VH03QE-9650TLUS},11/04/2010 18:50:50,GKW0043,PC-0199,R:\;R:\GKW0043;R:\85vL613;R:\52N8qB4;R:\27jqDT0,Connect
file,{R9R3-I1AC99YG-0085GSTG},11/04/2010 18:54:44,GKW0043,PC-0199,R:\keylogger.exe,File Open,False,True,AA Keylogger,4D-5A-90-00-03-00-00-00-04-00-00-00-FF-FF-00-00-B8-00-00-00-00-00-00-00-40-00 keylogging download keyboard email trial trial illegal stealth effective password username secure effective malware undetectable monitor effective username file surveillance useful easy malware free surveillance surveillance easy password username easy malware everything program everything file undetectable useful protect advanced keylogging stealth surveillance keyboard effective pc keyboard trial free hidden pc keylogging useful
device,{S4B8-G5ER95FB-2838QOZR},11/04/2010 18:55:26,GKW0043,PC-0199,,Disconnect
logon,{I4A8-G0SF44GI-6363ZCBQ},11/04/2010 18:58:14,GKW0043,PC-0199,Logoff
logon,{Z3E5-H5VY64NL-7720OQBA},11/05/2010 18:45:48,GKW0043,PC-0199,Logon
logon,{Y2E7-S4ZK25EA-7226WXBQ},11/05/2010 18:57:06,GKW0043,PC-0199,Logoff
