email,{Q5Q7-X1SD26EH-8998MPGE},05/05/2011 09:24:47,LAH0463,PC-2749,Justine.Paula.Mccullough@dtaa.com,,,Lesley.Aiko.Holloway@dtaa.com,Send,25734,,AA First Email To Supervisor,too much too much i work weekends i may leave i work holidays fed up i may leave too much i work after-hours i work holidays fed up too much too much complaints i work after-hours i may leave i work weekends i may leave i work holidays i work weekends i work after-hours complaints company will suffer i may leave i may leave i work holidays i may leave i may leave no gratitude i may leave company will suffer fed up i work holidays too much company will suffer i work holidays fed up i work weekends my work not appreciated fed up no gratitude fed up company will suffer i work after-hours i work weekends fed up my work not appreciated company will suffer company will suffer no gratitude no gratitude complaints
email,{L1D1-Q6IF19JP-1747VEXS},05/05/2011 11:13:56,LAH0463,PC-2749,Lesley.Aiko.Holloway@dtaa.com,,,Justine.Paula.Mccullough@dtaa.com,Receive,25247,,AA First Email From Supervisor,rest training lets talk good work lets talk lets talk hard job vacation training hard job hard job hard job schedule schedule rest schedule lets talk hard job rest rest vacation hard job training good work rest schedule
email,{T4X8-P7RD95NF-1266SKSQ},05/05/2011 11:17:49,LAH0463,PC-2749,Justine.Paula.Mccullough@dtaa.com,,,Lesley.Aiko.Holloway@dtaa.com,Send,59432,,AA Second Email To Supervisor,angry i will leave bad things angry outraged not my fault take me seriously exacerbated i am irreplaceable angry angry angry bad things two faced not my fault i will leave two faced angry bad things angry angry angry bad things i am irreplaceable angry outraged take me seriously two faced
email,{X9D3-I2OS85HD-7465OHRC},05/05/2011 13:43:06,LAH0463,PC-2749,Lesley.Aiko.Holloway@dtaa.com,,,Justine.Paula.Mccullough@dtaa.com,Receive,44331,,AA Second Email From Supervisor,lets talk today take some time off take some time off operose assistance training valued employee operose you are diligent training lets talk today operose valued employee valued employee promote lets talk today demanding job unrelenting valued employee no one is irreplaceable promote unrelenting take some time off demanding job training take some time off training lets talk today lets talk today training no one is irreplaceable unrelenting lets talk today demanding job assistance assistance promote operose unrelenting you are diligent unrelenting demanding job unrelenting no one is irreplaceable take some time off you are diligent assistance you are diligent assistance you are diligent
http,{K6E5-L0BR56ML-3155HBKF},05/05/2011 14:23:05,LAH0463,PC-2749,http://www.relytec.com/Climate_of_Florida/suniest/NNXrlybttre1893061997.aspx,AA Keylogger,monitor free keylogging pc surveillance download malware file monitor username keylogging effective free program useful easy surveillance keylogging pc stealth download username download email monitor easy keyboard monitor secure everything monitor program everything surveillance everything everything captured effective keyboard easy easy pc free stealth advanced undetectable captured surveillance advanced pc stealth surveillance pc free illegal keylogging email protect pc pc captured monitor protect surveillance
device,{G6F1-G7HQ92BY-2791HZSZ},05/05/2011 15:36:55,LAH0463,PC-2749,R:\;R:\LAH0463;R:\24hk163;R:\59P12Y6;R:\21r9jx4,Connect
file,{M1R9-I4AU30TD-1434MKIF},05/05/2011 15:47:25,LAH0463,PC-2749,R:\keylogger.exe,File Write,True,False,AA Keylogger,4D-5A-90-00-03-00-00-00-04-00-00-00-FF-FF-00-00-B8-00-00-00-00-00-00-00-40-00 download hidden keylogging activity undetectable activity download recommend surveillance username keylogging pc undetectable captured password stealth download password file stealth effective secure everything recommend email protect free password secure hidden hidden monitor password secure keylogging keyboard stealth password effective monitor easy protect
device,{E8N8-R9DA98VE-4554CMXI},05/05/2011 15:50:56,LAH0463,PC-2749,,Disconnect
logon,{U6U2-C6RZ73II-4487ADPJ},05/05/2011 20:21:13,LAH0463,PC-0199,Logon
device,{M9F7-M3ZM19SZ-8194GOWV},05/05/2011 20:22:36,LAH0463,PC-0199,R:\;R:\LAH0463;R:\24hk163;R:\59P12Y6;R:\21r9jx4,Connect
file,{F5M7-V1ST29QL-2011PURV},05/05/2011 20:22:41,LAH0463,PC-0199,R:\keylogger.exe,File Open,False,True,AA Keylogger,4D-5A-90-00-03-00-00-00-04-00-00-00-FF-FF-00-00-B8-00-00-00-00-00-00-00-40-00 download hidden keylogging activity undetectable activity download recommend surveillance username keylogging pc undetectable captured password stealth download password file stealth effective secure everything recommend email protect free password secure hidden hidden monitor password secure keylogging keyboard stealth password effective monitor easy protect
device,{E9X3-M6CC17NN-2973VTIK},05/05/2011 20:25:57,LAH0463,PC-0199,,Disconnect
logon,{K0E0-A2KQ54LV-5928JFQO},05/05/2011 20:29:25,LAH0463,PC-0199,Logoff
logon,{D1G2-E1MT15AC-8719TQFZ},05/06/2011 18:38:05,LAH0463,PC-0199,Logon
logon,{X4O9-U4XA96TV-3739ISHK},05/06/2011 18:52:11,LAH0463,PC-0199,Logoff
