email,{F4O9-K6CC55TJ-0107JVXL},06/17/2010 10:00:38,MPF0690,PC-1140,Jessica.Jeanette.Cline@dtaa.com,,,Mara.Priscilla.Farrell@dtaa.com,Send,30860,,AA First Email To Supervisor,too much complaints company will suffer company will suffer i may leave my work not appreciated i may leave i work holidays company will suffer my work not appreciated complaints i work weekends company will suffer i may leave i may leave no gratitude i work weekends no gratitude fed up company will suffer i work weekends company will suffer i work holidays i work weekends i may leave company will suffer my work not appreciated i may leave i may leave i may leave company will suffer my work not appreciated i may leave i work holidays i work holidays no gratitude company will suffer i may leave i work after-hours i may leave fed up company will suffer no gratitude complaints my work not appreciated i work after-hours company will suffer too much company will suffer fed up i work weekends no gratitude i may leave
email,{K2R1-W3HV72NJ-4082RNHN},06/17/2010 13:18:01,MPF0690,PC-1140,Mara.Priscilla.Farrell@dtaa.com,,,Jessica.Jeanette.Cline@dtaa.com,Receive,21902,,AA First Email From Supervisor,lunch vacation training lunch valued employee training hard job schedule good work valued employee lunch valued employee valued employee vacation you are appreciated good work schedule rest rest you are appreciated you are appreciated hard job lets talk you are appreciated training schedule lunch valued employee hard job hard job schedule hard job training valued employee valued employee lets talk training rest schedule you are appreciated lets talk you are appreciated you are appreciated valued employee
email,{J9A4-J7XS06MP-4988GRDJ},06/17/2010 15:20:44,MPF0690,PC-1140,Jessica.Jeanette.Cline@dtaa.com,,,Mara.Priscilla.Farrell@dtaa.com,Send,26719,,AA Second Email To Supervisor,outraged not my fault not my fault exacerbated take me seriously i am irreplaceable angry exacerbated angry exacerbated i will leave outraged outraged i will leave two faced i am irreplaceable take me seriously angry i will leave angry bad things outraged bad things i will leave i am irreplaceable outraged exacerbated i will leave take me seriously two faced exacerbated take me seriously i will leave angry angry outraged angry angry bad things two faced outraged two faced i will leave exacerbated two faced angry not my fault not my fault two faced bad things exacerbated outraged bad things outraged bad things two faced angry outraged angry outraged not my fault i will leave exacerbated exacerbated two faced i am irreplaceable take me seriously bad things i will leave i am irreplaceable exacerbated exacerbated i am irreplaceable exacerbated exacerbated outraged angry exacerbated
email,{C9K5-U6PX63AY-3996BDMI},06/17/2010 16:56:00,MPF0690,PC-1140,Mara.Priscilla.Farrell@dtaa.com,,,Jessica.Jeanette.Cline@dtaa.com,Receive,23843,,AA Second Email From Supervisor,valued employee lets talk today operose operose no one is irreplaceable training training lets talk today promote assistance operose lets talk today demanding job demanding job demanding job valued employee unrelenting lets talk today no one is irreplaceable you are diligent unrelenting take some time off unrelenting promote promote you are diligent unrelenting training no one is irreplaceable training operose operose promote assistance training valued employee no one is irreplaceable no one is irreplaceable promote lets talk today operose promote training unrelenting lets talk today promote lets talk today
http,{S0K3-N1RO24GY-4642RYYJ},06/17/2010 18:02:47,MPF0690,PC-1140,http://www.relytec.com/Climate_of_Florida/suniest/NNXrlybttre1893061997.aspx,AA Keylogger,keyboard undetectable monitor keyboard monitor email file protect download file password file trial trial monitor effective captured covert covert file password free keyboard monitor keyboard undetectable monitor program captured gui download keyboard program captured free everything everything password advanced captured advanced surveillance hidden surveillance trial advanced covert gui keylogging trial free pc keyboard effective password email easy free secure easy captured
http,{N6E5-J1NQ14CV-2410BUJB},06/17/2010 18:10:15,MPF0690,PC-1140,http://www.relytec.com/Climate_of_Florida/suniest/NNXrlybttre1893061997.aspx,AA Keylogger,free malware password monitor monitor hidden monitor secure secure keylogging pc surveillance malware gui everything easy covert pc free recommend pc gui undetectable captured surveillance captured protect protect username malware effective username hidden program file captured pc illegal effective secure email program easy hidden file recommend password stealth password gui keyboard hidden hidden advanced keyboard free email covert keyboard pc pc file covert pc free captured program effective protect advanced protect effective everything undetectable undetectable username
device,{F2Q6-T6FS97RB-6156IFPS},06/17/2010 18:13:02,MPF0690,PC-1140,R:\;R:\MPF0690;R:\19fHfV0,Connect
file,{E5H3-T9HM70FJ-4891UTVZ},06/17/2010 18:15:25,MPF0690,PC-1140,R:\keylogger.exe,File Write,True,False,AA Keylogger,4D-5A-90-00-03-00-00-00-04-00-00-00-FF-FF-00-00-B8-00-00-00-00-00-00-00-40-00 pc password hidden surveillance activity easy trial download easy gui everything pc keylogging pc surveillance free recommend stealth secure recommend download stealth keylogging hidden captured easy captured keylogging everything program password surveillance trial easy easy easy gui trial monitor download gui monitor keylogging password recommend keylogging useful hidden download covert monitor undetectable captured
device,{V9P1-I8MH52AJ-0839KXJR},06/17/2010 18:17:06,MPF0690,PC-1140,,Disconnect
logon,{Y6Q4-X4EB50WM-4597OMCE},06/17/2010 19:42:39,MPF0690,PC-8814,Logon
device,{Y6S0-Q7TW22VZ-1336BDPK},06/17/2010 19:43:41,MPF0690,PC-8814,R:\;R:\MPF0690;R:\19fHfV0,Connect
file,{F0D4-S6TW63LA-0278UTTJ},06/17/2010 19:46:01,MPF0690,PC-8814,R:\keylogger.exe,File Open,False,True,AA Keylogger,4D-5A-90-00-03-00-00-00-04-00-00-00-FF-FF-00-00-B8-00-00-00-00-00-00-00-40-00 pc password hidden surveillance activity easy trial download easy gui everything pc keylogging pc surveillance free recommend stealth secure recommend download stealth keylogging hidden captured easy captured keylogging everything program password surveillance trial easy easy easy gui trial monitor download gui monitor keylogging password recommend keylogging useful hidden download covert monitor undetectable captured
device,{T2L4-W2PI37QY-0402QKOU},06/17/2010 19:47:28,MPF0690,PC-8814,,Disconnect
logon,{S3K8-U1AF53KD-6424MURI},06/17/2010 19:52:49,MPF0690,PC-8814,Logoff
logon,{X3U6-M7WN96YE-0712MYVB},06/18/2010 20:08:44,MPF0690,PC-8814,Logon
logon,{J1L0-E6LR97QS-9568JPZX},06/18/2010 20:22:06,MPF0690,PC-8814,Logoff
